Andy 256 8 1 1119.0111637115479
Andy 256 8 2 711.4031314849854
Andy 256 8 3 850.8200645446777
Andy 256 8 4 537.8670692443848
Andy 256 8 5 623.950719833374
Andy 256 8 6 713.0801677703857
Andy 256 8 7 645.8032131195068
Andy 256 8 8 665.5921936035156
Andy 128 16 1 738.3790016174316
Andy 128 16 2 515.7220363616943
Andy 128 16 3 615.2560710906982
Andy 128 16 4 695.6400871276855
Andy 128 16 5 518.099308013916
Andy 128 16 6 592.0450687408447
Andy 128 16 7 663.2368564605713
Andy 128 16 8 806.7817687988281
Andy 64 16 1 735.4140281677246
Andy 64 16 2 631.572961807251
Andy 64 16 3 583.3489894866943
Andy 64 16 4 422.76811599731445
Andy 64 16 5 471.1122512817383
Andy 64 16 6 350.94499588012695
Andy 64 16 7 431.43701553344727
Andy 64 16 8 295.029878616333
Andy 128 8 1 1294.0597534179688
Andy 128 8 2 816.0848617553711
Andy 128 8 3 815.4113292694092
Andy 128 8 4 671.6320514678955
Andy 128 8 5 839.055061340332
Andy 128 8 6 552.4628162384033
Andy 128 8 7 671.1220741271973
Andy 128 8 8 598.121166229248
Andy 128 32 1 599.2259979248047
Andy 128 32 2 475.13604164123535
Andy 128 32 3 435.3930950164795
Andy 128 32 4 343.71376037597656
Andy 128 32 5 391.1168575286865
Andy 128 32 6 294.39401626586914
Andy 128 32 7 351.0749340057373
Andy 128 32 8 639.1370296478271
Andy 256 16 1 654.9181938171387
Andy 256 16 2 735.3620529174805
Andy 256 16 3 663.2080078125
Andy 256 16 4 727.4529933929443
Andy 256 16 5 574.7730731964111
Andy 256 16 6 552.5290966033936
Andy 256 16 7 1005.9976577758789
Andy 256 16 8 630.6030750274658
Andy 512 16 1 694.9000358581543
Andy 512 16 2 720.4179763793945
Andy 512 16 3 598.1948375701904
Andy 512 16 4 727.8740406036377
Andy 512 16 5 750.255823135376
Andy 512 16 6 727.2882461547852
Andy 512 16 7 682.7738285064697
Andy 512 16 8 692.237138748169
Andy 64 32 1 1863.1811141967773
Andy 64 32 2 302.7646541595459
Andy 64 32 3 303.5280704498291
Andy 64 32 4 239.2888069152832
Andy 64 32 5 254.80985641479492
Andy 64 32 6 255.79524040222168
Andy 64 32 7 471.5309143066406
Andy 64 32 8 294.7828769683838
Andy 256 32 1 942.9299831390381
Andy 256 32 2 688.3058547973633
Andy 256 32 3 590.9450054168701
Andy 256 32 4 623.3320236206055
Andy 256 32 5 566.7870044708252
Andy 256 32 6 494.75693702697754
Andy 256 32 7 519.183874130249
Andy 256 32 8 455.0778865814209
Andy 64 8 1 966.9158458709717
Andy 64 8 2 1159.1038703918457
Andy 64 8 3 446.55299186706543
Andy 64 8 4 471.51994705200195
Andy 64 8 5 663.1560325622559
Andy 64 8 6 895.9879875183105
Andy 64 8 7 488.10791969299316
Andy 64 8 8 422.72210121154785
Andy 512 8 1 990.6339645385742
Andy 512 8 2 775.8688926696777
Andy 512 8 3 830.2559852600098
Andy 512 8 4 967.4608707427979
Andy 512 8 5 643.2030200958252
Andy 512 8 6 1019.4289684295654
Andy 512 8 7 1030.7130813598633
Andy 512 8 8 1111.0479831695557
Andy 512 32 1 606.907844543457
Andy 512 32 2 551.185131072998
Andy 512 32 3 543.2271957397461
Andy 512 32 4 663.9909744262695
Andy 512 32 5 822.2873210906982
Andy 512 32 6 479.20703887939453
Andy 512 32 7 630.9940814971924
Andy 512 32 8 551.1958599090576
